plate_position,aryl_halide_smiles,nucleophile_smiles,catalyst_smiles,catalyst_name,base_smiles,base_name,yield_percent,product_smiles
E21,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C2=CC=CC=C2C3=C([NH2]1)C=CC=C3,tBu3P Pd G2 33,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E22,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C2=CC=CC=C2C3=C([NH2]1)C=CC=C3,tBu3P Pd G2 33,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E23,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C2=CC=CC=C2C3=C([NH2]1)C=CC=C3,tBu3P Pd G2 33,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E24,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C2=CC=CC=C2C3=C([NH2]1)C=CC=C3,tBu3P Pd G2 33,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E25,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(OC1(C)O2)(C3)OC(C)(C1)[P]([Pd]4(OS(C)(=O)=O)C5=CC=CC=C5C6=C([NH2]4)C=CC=C6)(C7=CC=CC=C7)C23C,PPA Pd G3 34,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E26,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(OC1(C)O2)(C3)OC(C)(C1)[P]([Pd]4(OS(C)(=O)=O)C5=CC=CC=C5C6=C([NH2]4)C=CC=C6)(C7=CC=CC=C7)C23C,PPA Pd G3 34,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E27,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(OC1(C)O2)(C3)OC(C)(C1)[P]([Pd]4(OS(C)(=O)=O)C5=CC=CC=C5C6=C([NH2]4)C=CC=C6)(C7=CC=CC=C7)C23C,PPA Pd G3 34,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E28,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(OC1(C)O2)(C3)OC(C)(C1)[P]([Pd]4(OS(C)(=O)=O)C5=CC=CC=C5C6=C([NH2]4)C=CC=C6)(C7=CC=CC=C7)C23C,PPA Pd G3 34,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E29,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(OC1(C)O2)(C3)OC(C)(C1)[P]([Pd]4(OS(C)(=O)=O)C5=CC=CC=C5C6=C([NH2]4)C=CC=C6)(C7=CC=CC=C7)C23C,PPA Pd G3 34,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E30,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(OC1(C)O2)(C3)OC(C)(C1)[P]([Pd]4(OS(C)(=O)=O)C5=CC=CC=C5C6=C([NH2]4)C=CC=C6)(C7=CC=CC=C7)C23C,PPA Pd G3 34,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E31,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,NC(C=C1)=CC=C1[P]([Pd]2(OS(C)(=O)=O)C3=CC=CC=C3C4=C([NH2]2)C=CC=C4)(C(C)(C)C)C(C)(C)C,Aphos Pd G3 35,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E32,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,NC(C=C1)=CC=C1[P]([Pd]2(OS(C)(=O)=O)C3=CC=CC=C3C4=C([NH2]2)C=CC=C4)(C(C)(C)C)C(C)(C)C,Aphos Pd G3 35,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E33,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,NC(C=C1)=CC=C1[P]([Pd]2(OS(C)(=O)=O)C3=CC=CC=C3C4=C([NH2]2)C=CC=C4)(C(C)(C)C)C(C)(C)C,Aphos Pd G3 35,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E34,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,NC(C=C1)=CC=C1[P]([Pd]2(OS(C)(=O)=O)C3=CC=CC=C3C4=C([NH2]2)C=CC=C4)(C(C)(C)C)C(C)(C)C,Aphos Pd G3 35,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E35,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,NC(C=C1)=CC=C1[P]([Pd]2(OS(C)(=O)=O)C3=CC=CC=C3C4=C([NH2]2)C=CC=C4)(C(C)(C)C)C(C)(C)C,Aphos Pd G3 35,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E36,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,NC(C=C1)=CC=C1[P]([Pd]2(OS(C)(=O)=O)C3=CC=CC=C3C4=C([NH2]2)C=CC=C4)(C(C)(C)C)C(C)(C)C,Aphos Pd G3 35,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E37,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E38,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E39,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E40,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E41,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.51,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
